ali_uid,hw_c,bw_c1,bw_c2,bw_c3
1775,428.0,23,0.9958067857499986,6.319748237729073
2088,6120.0,4221,4.668474365833332,32.376345712691545
2766,57184.0,318063,264323.42099702824,681877.3396973033
4588,62322.4,260747,408980.6599588651,477527.2892507538
6224,27096.0,22475,71.13127645975003,465.7201687898487
7120,8584.0,10685,8824.077912257944,12957.284155385569
9004,37576.791015625,548,15.16343422774998,132.4744551535696
9682,120.0,23,0.02936397974999993,0.1849641278386116
10812,100.0,23,0.9186996682500012,5.5439128540456295
10815,300.0,69,1.015987413000002,7.14024318382144
11443,2432.0,3140,48.14577261141663,490.04952097311616
12347,180224.0,470048,21431.99363241051,60746.758742462844
12843,100.0,46,0.6891703297499981,4.110627081245184
13404,38512.0,1493600,160343.36199829905,232902.19070183113
14448,360.0,6001,3801.777942523915,5153.508685100824
14878,82720.0,856143,666302.106235038,1177649.76570379
15219,55580.0,439608,31854.115463113052,137280.06729617715
15301,2592556.0,85632,131736.116890529,177608.82646422833
15453,208.0,23,1.4661664289999972,8.055249508470297
16510,936.0,69,7.990011524249983,47.10128168575466
19346,42372.0,137958,4785.241785954664,33788.87473689392
19570,79472.0,4614850,32719.88185531958,242715.27820925228
20525,600.0,6320,24.847661223166693,91.50674298405647
21765,1524.0,232,118.38162843674966,917.8916264232248
21861,1432.0,340,50.72843490749999,494.89276670850813
22399,192172.0,6037905,3831330.4693318354,7035508.059904464
23420,208.0,23,0.31707866399999984,2.312103593721986
23813,17284.4375,23,1.1161459260000033,7.725769998505712
24018,6800.0,280321,186912.58923796413,216550.50363088958
24132,3844.0,6994,1404.8774122017514,3765.588577101007
24331,208.0,2045,0.9389191807500027,2.960706939920783
24924,2432.0,1000,1334.3531621752486,11991.023948499933
25295,194516.0,3200799,1059251.3696400349,1197954.2741306126
27445,15886.0,126830,16158.195111555255,35056.35072061792
27780,400.0,165,15.461305261499994,150.04946275614202
29791,416.0,1210,319.27193529533344,3091.4325454831123
30410,1832.0,92,16.946090663249997,147.99033584073186
31016,400.0,92,4.006293884250006,31.13354606553912
31102,306392.4,2960520,2790800.0473505994,4646390.472531561
32303,100.0,71,0.4437404947500012,2.6369828917086124
33259,32288.0,179623,138148.84188889834,287353.1125176698
33304,1300.0,299,8.537839296000001,55.05635976791382
34207,2740.0,115,4.038470231250002,26.951955053955317
34465,14378.0,12450,426.36801578674954,2773.78723972477
34768,1848.0,1550,244.68271415049975,2475.0918470788747
35328,2032.0,12180,11.597171689083313,79.07963963225484
36840,408.0,23,0.2671125030000009,2.4861388374119997
36871,208.0,23,0.050954032500000024,0.2923193760216236
37930,208.0,205,7.158490934333328,66.03934555314481
40817,11740.0,23,0.020030351249999977,0.18391787074506286
42774,100.0,32605,73.49438504883325,565.3874205239117
43094,328.0,46,1.6061081925000065,15.535619342699647
43556,300.0,69,1.1509521607499997,8.190206699073315
43698,2448.0,648,12.529392946916685,88.78213573247194
43988,1284.0,69,2.9417356710000075,17.981600901111964
45215,1872.0,92,0.9317470050000013,5.789131047204137
46473,6816.0,371989,69817.48646247433,160873.39014558122
47287,2592.0,1016,0.8998577357499998,5.082904966548085
48174,5752.0,14378,1185.005604239499,2279.7221450787038
48776,81884.0,1056879,34053.96505344731,89214.65799956582
48809,2004.0,23,0.30214947525,1.9563224259763956
48944,305534.0,6890084,6946741.836911486,15105639.815781768
50327,304.0,23,0.9979471530000015,6.28270891495049
50387,3996.0,288,19.377763639500042,177.68033483996987
52024,963412.0,2058903,1406447.624001115,3675211.449067304
52238,13908.0,12391,532.5754345686668,1411.2044645939022
52405,6896.0,6418,24.37448389591667,160.4280723631382
52759,63096.8,255293,1071.6412180148316,2661.3931198138744
53106,32408.0,2185,12.508039939249995,73.99228940717876
55318,408.0,46,8.090204314500005,45.23300928063691
55628,408.0,23,0.21511049699999968,1.2039342708885672
55644,82968.0,739118,1238.7350977551653,4376.571624521166
56312,1748.0,4242,2700.4036133101686,10672.65242177993
56850,2050.5625,32113,183.8098010628327,232.73543215356767
58019,9509.9375,23,2.0670603502499993,12.017325041815639
58511,400.0,92,3.307022454750006,20.12431612238288
59604,96638.0,119044,7129.77294375326,26747.9412665125
60308,4800.0,410901,4325.069539689085,24686.244516475126
61851,32778.875,1610,1.247636974083333,6.193856410682201
62517,1404.0,651,3.0247596054999963,21.302268113940954
62570,1312.0,183849,21788.097176799158,23853.188885115087
62981,896.0,23,0.00797982150000004,0.06416528485715389
63306,4706.0,161,6.070887516749991,49.97137477621436
63689,4878.0,720695,253.6921830172497,599.4006007164717
63800,28744.0,51070,3027.361812529915,11760.852602552623
63945,3578.4,94,1.8667546852499977,14.949245732277632
64032,2192.0,23,0.1643835795,1.5523686166852713
64389,4418189.230664069,52405653,41994654.10126652,71014147.00244711
64892,596026.4000000001,5010754,364121.166861134,558217.9408674873
66394,1200952.0,12277751,6243679.633867854,13407298.305798434
68873,581508.0,4965,1.9634817631666672,7.78507268987596
69050,3536.0,12330,9621.259721231512,24676.133019234985
69133,1372.0,207,8.5446584685,58.283881433308125
69166,164224.0,55017,4792.15959531366,28007.420968366787
70469,228.0,205,0.4599243816666676,3.3166884910315275
70642,19128.0,2631,79.71126374258338,562.7894629631191
70990,25909.600000000006,526,2.902476343166667,16.53782115317881
71679,600.0,12124,3447.071499007251,6648.189767673612
71859,1668.0,697,30.89916908691664,176.1318863555789
71867,100.0,23,0.5350375642500006,3.4869047161191706
72267,2628.0,4273,1403.1315699256663,5654.423473589122
73071,916.0,46,3.337837114500002,21.98338776826859
75336,600.0,6251,30.422355400583342,113.7488900218159
75839,2280.0,999,1107.4804204747497,9141.992784664035
76645,108532.0,964650,464517.0168588284,848080.2902556304
77787,335992.0,1494608,794429.1146043409,1965133.7712212652
78131,689328.0,12732665,833999.9905263952,1148518.3479900286
79205,700.0,161,3.452258838000001,22.260914258658886
80306,100.0,23,1.65278874075,10.004985379055142
80365,1309520.0,92209,878.0483002894999,5323.169199703261
80868,1040.0,2959,3.4895460187499996,23.367040157318115
81414,1100.0,10239,27.592772665749997,131.51299763470888
82150,1164.0,6215,37.46200214241668,178.98482959717512
82397,3040.0,115,4.364672780999991,26.135914586484432
83822,123340.8,1922262,786682.7714960186,1153261.9479993358
84661,37822.200000000004,46101,148.2707199200834,219.49705327861014
84953,5088.0,521975,49762.43269858989,54585.196724133566
85953,3344.0,7530,783.9670159339147,3350.3937757294625
87436,2648.0,647,53.917602867250004,462.91268954984844
87684,100.0,3325,717.0458089961633,1355.6677194871008
88203,6488.0,759,123.95832027599998,803.1328316219151
88522,7396.0,332,30.246222635999974,193.18664129823446
89077,1528.01171875,2263,42.24476730124989,132.57236341014504
89110,120891.0,1259145,3412.3830865247496,23746.21467942372
89137,3004.0,348839,314606.929714871,688708.3173972555
89932,1284.0,971,4.644506898250004,23.11271158978343
90665,65928.0,209220,805.9225784526677,6828.855057153851
91421,200.0,46,0.7175720842499991,6.61985264159739
93859,100.0,23,0.046691751749999975,0.2577792014926672
94454,600.0,138,4.765911948000006,30.99448263645172
95262,2868.0,504,12.387233333666662,70.71565831080079
95929,100.0,23,0.9192149347499993,5.107959564775229
97163,27738.0,203508,14338.660196707582,75549.8850445915
97683,648.0,23,1.547972364749995,9.424484157934785
98051,2574172.0,23738171,12531420.139217615,20468613.207746092
99421,100.0,23,2.3239305600000093,13.644946860149503
99553,200.0,94,42.55719670125002,372.3579536564649
