hw_1,standard
1-0.5,18
1-1.0,33
1-2.0,80
1-4.0,141
1-8.0,249
10-46.0,2425.56
104-1536.0,24648
104-192.0,9724
104-384.0,12480
104-768.0,16536
12-12.0,1020
12-24.0,1182
12-48.0,1584
12-92.0,9475
12-96.0,1956
16-120.0,7979.4
16-128.0,2800
16-16.0,666
16-32.0,1576
16-48.0,4500
16-62.0,4725
16-64.0,2390.4
160-1920.0,39600
2-1.0,17
2-16.0,350
2-2.0,75
2-4.0,188
2-6.0,562.5
2-8.0,264
20-88.0,4242
208-3072.0,49296
24-192.0,3912
24-48.0,2346
24-88.0,3300
24-93.0,4950
24-96.0,3336
28-112.0,5618.5
32-128.0,4960
32-240.0,17731
32-256.0,5600
32-64.0,3152
4-12.0,1125
4-15.0,3348
4-16.0,528
4-23.0,1173.65
4-30.0,3681
4-32.0,732
4-4.0,167
4-8.0,388
40-176.0,8484
40-192.0,5280
40-384.0,7000
40-96.0,4300
48-176.0,6600
48-186.0,9900
48-192.0,6672
48-368.0,37900
48-96.0,5424
52-192.0,6240
52-384.0,8268
52-768.0,12324
52-96.0,4862
54-480.0,35462
56-160.0,10088
56-224.0,9086
56-480.0,10248
64-128.0,6192
64-192.0,12200
64-256.0,9976
64-512.0,11200
72-288.0,11223
8-16.0,776
8-24.0,2250
8-31.0,4032
8-32.0,1144
8-60.0,4433
8-64.0,1400
8-8.0,333
80-192.0,8600
80-352.0,16968
80-384.0,10560
80-768.0,14000
80-960.0,19800
82-336.0,63255
96-192.0,10848
96-352.0,13200
96-372.0,19800
96-384.0,13344
96-736.0,75800
96-768.0,15648
48-300.0,37900
64-400.0,11200
60-400.0,11200
8-4.0,113
16-8.0,226
44-232.0,37900
