hw_1,包月
1-1,30.6
1-2,57.76
1-4,107.8
1-8,236.6
104-1466,31748.06
12-24,1317.2
12-48,1499.5
12-96,1897.2
16-128,3852.4
16-16,630
16-256,11310
16-32,1603.8
16-64,2379.1
2-16,316.2
2-2,75.3
2-4,152.2
2-8,220.255
208-2932,63496.13
208-4096,91520.88
24-192,4881.35
24-48,2405.7
24-96,2999
28-348,6877.4
32-128,6876.76
32-224,9449.3
32-256,7704.8
32-352,20675.5
32-64,3207.7
4-16,499.8
4-32,963.1
4-4,151.4
4-8,304.3
48-384,11558.65
56-560,13483.4
56-696,13754.7
60-128,6415.4
60-256,7997.3
60-512,12537.2
64-448,17618.6
64-512,15413.4
64-704,41351
8-16,608.6
8-32,899.73
8-64,1926.2
8-8,315
8-88,5168.9
44-232,11558.65
60-400,12537.2
48-300,11558.65
64-400,17618.6
64-128,6415.56
